"litigante","uf","processos"
CAIXA ECONÔMICA FEDERAL - CEF,MG,2
CAIXA ECONÔMICA FEDERAL - CEF,MS,1
CAIXA ECONÔMICA FEDERAL - CEF,PA,5
CAIXA ECONÔMICA FEDERAL - CEF,PB,22
CAIXA ECONÔMICA FEDERAL - CEF,PE,19
CAIXA ECONÔMICA FEDERAL - CEF,PE,1
CAIXA ECONÔMICA FEDERAL - CEF,PI,7
CAIXA ECONÔMICA FEDERAL - CEF,PR,99
CAIXA ECONOMICA FEDERAL - CEF,PR,1
CAIXA ECONÔMICA FEDERAL - CEF,PR,1
CAIXA ECONÔMICA FEDERAL - CEF,RJ,120
CAIXA ECONÔMICA FEDERAL - CEF,RJ,3
CAIXA ECONÔMICA FEDERAL - CEF,RN,41
CAIXA ECONÔMICA FEDERAL - CEF,RS,169
CAIXA ECONÔMICA FEDERAL - CEF,RS,6
CAIXA ECONÔMICA FEDERAL - CEF,SC,141
CAIXA ECONÔMICA FEDERAL - CEF,SC,4
CAIXA ECONÔMICA FEDERAL - CEF,SE,7
CAIXA ECONÔMICA FEDERAL - CEF,SP,174
CAIXA ECONÔMICA FEDERAL - CEF,SP,3
CAIXA ECONOMICA FEDERAL - CEF,SP,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,37
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,8
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,1699
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,110
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,145
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,37
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,273
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,329
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,10
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,17
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,43
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,15
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,78
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,162
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,7
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,656
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,9
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,433
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,9
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,45
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,4
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,4
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RR,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,1153
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,432
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,7
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,41
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1255
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,19
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AC,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,36
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,8
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,78
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,160
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,325
PROCURADORIA-GERAL DA FAZENDA NACIONAL,ES,91
PROCURADORIA-GERAL DA FAZENDA NACIONAL,GO,35
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MA,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,376
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,10
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MT,19
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PA,16
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,35
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,163
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PI,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,585
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,774
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RN,64
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RO,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RR,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,1009
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,605
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SE,43
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,2480
PROCURADORIA-GERAL DA FAZENDA NACIONAL,TO,1
PROCURADORIA-GERAL FEDERAL,AC,10
PROCURADORIA-GERAL FEDERAL,AL,26
PROCURADORIA-GERAL FEDERAL,AM,13
PROCURADORIA-GERAL FEDERAL,AM,1
PROCURADORIA-GERAL FEDERAL,AP,1
PROCURADORIA-GERAL FEDERAL,BA,116
PROCURADORIA-GERAL FEDERAL,BA,3
PROCURADORIA-GERAL FEDERAL,CE,47
PROCURADORIA-GERAL FEDERAL,CE,2
PROCURADORIA-GERAL FEDERAL,DF,96
PROCURADORIA-GERAL FEDERAL,DF,4
PROCURADORIA-GERAL FEDERAL,DF,1
PROCURADORIA-GERAL FEDERAL,ES,74
PROCURADORIA-GERAL FEDERAL,ES,1
PROCURADORIA-GERAL FEDERAL,GO,76
PROCURADORIA-GERAL FEDERAL,GO,17
PROCURADORIA-GERAL FEDERAL,MA,34
PROCURADORIA-GERAL FEDERAL,MA,2
PROCURADORIA-GERAL FEDERAL,MG,127
PROCURADORIA-GERAL FEDERAL,MG,4
PROCURADORIA-GERAL FEDERAL,MG,2
PROCURADORIA-GERAL FEDERAL,MS,2
PROCURADORIA-GERAL FEDERAL,MT,17
PROCURADORIA-GERAL FEDERAL,MT,1
PROCURADORIA-GERAL FEDERAL,PA,42
PROCURADORIA-GERAL FEDERAL,PB,32
PROCURADORIA-GERAL FEDERAL,PB,1
PROCURADORIA-GERAL FEDERAL,PE,113
PROCURADORIA-GERAL FEDERAL,PE,3
PROCURADORIA-GERAL FEDERAL,PI,8
PROCURADORIA-GERAL FEDERAL,PR,126
PROCURADORIA-GERAL FEDERAL,PR,8
PROCURADORIA-GERAL FEDERAL,PR,1
PROCURADORIA-GERAL FEDERAL,RJ,314
PROCURADORIA-GERAL FEDERAL,RJ,6
PROCURADORIA-GERAL FEDERAL,RN,81
PROCURADORIA-GERAL FEDERAL,RN,2
PROCURADORIA-GERAL FEDERAL,RO,3
PROCURADORIA-GERAL FEDERAL,RR,6
PROCURADORIA-GERAL FEDERAL,RS,276
PROCURADORIA-GERAL FEDERAL,RS,5
PROCURADORIA-GERAL FEDERAL,SC,107
PROCURADORIA-GERAL FEDERAL,SC,5
PROCURADORIA-GERAL FEDERAL,SC,3
PROCURADORIA-GERAL FEDERAL,SE,158
PROCURADORIA-GERAL FEDERAL,SE,4
PROCURADORIA-GERAL FEDERAL,SP,87
PROCURADORIA-GERAL FEDERAL,SP,12
PROCURADORIA-GERAL FEDERAL,TO,2
ROBERTO MAIA,PR,2
ROBERTO MAIA,RS,1
UNIÃO,AC,10
UNIÃO,AL,210
UNIÃO,AM,43
UNIÃO,AP,3
UNIÃO,BA,121
UNIÃO,CE,252
UNIÃO,DF,1155
UNIÃO,DF,14
UNIÃO,DF,2
UNIÃO,DF,1
UNIÃO,ES,271
UNIÃO,GO,64
UNIÃO,MA,32
UNIÃO,MG,555
UNIÃO,MS,22
UNIÃO,MT,35
UNIÃO,MT,1
UNIÃO,PA,41
UNIÃO,PB,101
UNIÃO,PE,434
UNIÃO,PE,1
UNIÃO,PI,14
UNIÃO,PR,962
UNIÃO,PR,2
UNIÃO,RJ,2067
UNIÃO,RJ,1
UNIÃO,RJ,1
UNIÃO,RN,203
UNIÃO,RO,27
UNIÃO,RO,1
UNIÃO,RR,27
UNIÃO,RR,1
UNIÃO,RR,1
UNIÃO,RS,1609
UNIÃO,RS,3
UNIÃO,SC,1016
UNIÃO,SC,6
UNIÃO,SC,1
UNIÃO,SC,1
UNIÃO,SC,1
UNIÃO,SE,137
UNIÃO,SP,3287
UNIÃO,SP,11
UNIÃO,SP,3
UNIÃO,TO,13
